Row Labels;7 Days to Die;AdVenture Capitalist;Age of Empires II HD Edition;APB Reloaded;ARK Survival Evolved;Arma 2 Operation Arrowhead;Arma 3;Assassin's Creed IV Black Flag;Baldur's Gate II Enhanced Edition;Battlefield Bad Company 2;BioShock Infinite;Borderlands;Borderlands 2;Call of Duty Black Ops;Call of Duty Black Ops - Multiplayer;Call of Duty Black Ops II - Multiplayer;Call of Duty Ghosts - Multiplayer;Call of Duty Modern Warfare 2;Call of Duty Modern Warfare 2 - Multiplayer;Call of Duty Modern Warfare 3;Call of Duty Modern Warfare 3 - Multiplayer;Chivalry Medieval Warfare;Clicker Heroes;Counter-Strike;Counter-Strike Condition Zero;Counter-Strike Global Offensive;Counter-Strike Source;Crusader Kings II;DARK SOULS II;Dark Souls Prepare to Die Edition;Day of Defeat Source;DayZ;DC Universe Online;Deus Ex Human Revolution;Don't Starve;Dota 2;Dungeon Defenders;Empire Total War;Euro Truck Simulator 2;Europa Universalis IV;Fallout 4;Fallout New Vegas;Far Cry 3;FINAL FANTASY XIV A Realm Reborn;Football Manager 2009;Football Manager 2010;Football Manager 2011;Football Manager 2012;Football Manager 2013;Football Manager 2014;Football Manager 2015;Garry's Mod;Grand Theft Auto IV;Grand Theft Auto V;H1Z1;Half-Life 2;Half-Life 2 Deathmatch;Just Cause 2;Kerbal Space Program;Killing Floor;Left 4 Dead;Left 4 Dead 2;Medieval II Total War;METAL GEAR SOLID V THE PHANTOM PAIN;Might & Magic Heroes VI;Mount & Blade Warband;Napoleon Total War;Neverwinter;Path of Exile;PAYDAY 2;PlanetSide 2;Portal 2;Rising Storm/Red Orchestra 2 Multiplayer;Robocraft;Rocket League;Rust;Saints Row The Third;Sid Meier's Civilization IV Beyond the Sword;Sid Meier's Civilization V;Space Engineers;Star Trek Online;Starbound;Stronghold Kingdoms;Team Fortress 2;Terraria;The Binding of Isaac;The Binding of Isaac Rebirth;The Elder Scrolls V Skyrim;The Witcher 3 Wild Hunt;Tom Clancy's Ghost Recon Phantoms - NA;Torchlight II;Total War ROME II - Emperor Edition;Total War SHOGUN 2;Trove;Unturned;War Thunder;Warframe;Warhammer 40,000 Dawn of War II;XCOM Enemy Unknown
5250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,6;;;;;;;;;;;;0,8;;;;;;;;;;;;;;;
76767;;;13,1;;;;;;;;;;;22;12,5;;;65;165;15,9;9,7;;;365;;3,5;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;
86540;;;0,7;;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,8;;;;;;;;;;;;;;;;;;;16,4;;;;;;;;;;;;;;;;;;;;;;;;;;113;;;3,6;;;;;;;;37
144736;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181212;;;;;;;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229911;;;;;;;;;;;;;;8,1;2,8;;;44;109;;;;;45;165;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;
298950;14,3;;1,2;;41;;;;;0,4;21;8,3;78;;;;;;;;;10,2;;0,5;;544;0,5;1;62;49;;;;28;2,9;0,5;0,9;;0,2;;82;92;99;;;;;;;;;6,2;;;;0,1;;1,6;;;0,9;16,3;;65;0,8;;;;;3,4;;17,1;;;49;39;7,4;;135;;;50;;1019;86;0,4;;123;89;;13,6;;;;3,5;;;0,4;25
381543;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
547685;;;;;;;;;;;;;;;;;;;;;;;;22;;489;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554278;;;;;;;;;;;;;;;;4,5;;6,2;;;;;;;;38;216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,1;;;;;;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,4;;;
561758;;;;;;;;;;20;;59;;8,6;76;47;32;17,5;51;1,6;147;;;;;0,4;0,8;;;;4,4;2,8;;;;;;;;;;;;;;;;;;;;;;;;16,6;;;;14,3;8,2;26;;;;;;;;;;33;;;;;;;;;;;;2,8;;;;8,6;;;;;;;;;;;
577614;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
622362;;;;;;;;;;;;;;;;;;;;;;;;22;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,7;;;;;;;;;;;;;;;
635733;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
683019;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
714122;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;1,4;;;;;;;;;;;;;;;;;;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
748719;;;;;;5,9;;;;;;;2,3;;;;;;;;;;;13,6;;1329;0,5;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,3;;;;;;;;;;;;;;67;;;;;;;;;;;;;;;;;;;;
861238;;;;;;;;;;;;;;;;;;;;;;;;0,6;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
871990;;;;;;;;;;;;;;;;;;;;;;;;3;;;131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
937567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
