"","Row Labels","7 Days to Die","AdVenture Capitalist","Age of Empires II HD Edition","APB Reloaded","ARK Survival Evolved","Arma 2 Operation Arrowhead","Arma 3","Assassin's Creed IV Black Flag","Baldur's Gate II Enhanced Edition","Battlefield Bad Company 2","BioShock Infinite","Borderlands","Borderlands 2","Call of Duty Black Ops","Call of Duty Black Ops - Multiplayer","Call of Duty Black Ops II - Multiplayer","Call of Duty Ghosts - Multiplayer","Call of Duty Modern Warfare 2","Call of Duty Modern Warfare 2 - Multiplayer","Call of Duty Modern Warfare 3","Call of Duty Modern Warfare 3 - Multiplayer","Chivalry Medieval Warfare","Clicker Heroes","Counter-Strike","Counter-Strike Condition Zero","Counter-Strike Global Offensive","Counter-Strike Source","Crusader Kings II","DARK SOULS II","Dark Souls Prepare to Die Edition","Day of Defeat Source","DayZ","DC Universe Online","Deus Ex Human Revolution","Don't Starve","Dota 2","Dungeon Defenders","Empire Total War","Euro Truck Simulator 2","Europa Universalis IV","Fallout 4","Fallout New Vegas","Far Cry 3","FINAL FANTASY XIV A Realm Reborn","Football Manager 2009","Football Manager 2010","Football Manager 2011","Football Manager 2012","Football Manager 2013","Football Manager 2014","Football Manager 2015","Garry's Mod","Grand Theft Auto IV","Grand Theft Auto V","H1Z1","Half-Life 2","Half-Life 2 Deathmatch","Just Cause 2","Kerbal Space Program","Killing Floor","Left 4 Dead","Left 4 Dead 2","Medieval II Total War","METAL GEAR SOLID V THE PHANTOM PAIN","Might & Magic Heroes VI","Mount & Blade Warband","Napoleon Total War","Neverwinter","Path of Exile","PAYDAY 2","PlanetSide 2","Portal 2","Rising Storm/Red Orchestra 2 Multiplayer","Robocraft","Rocket League","Rust","Saints Row The Third","Sid Meier's Civilization IV Beyond the Sword","Sid Meier's Civilization V","Space Engineers","Star Trek Online","Starbound","Stronghold Kingdoms","Team Fortress 2","Terraria","The Binding of Isaac","The Binding of Isaac Rebirth","The Elder Scrolls V Skyrim","The Witcher 3 Wild Hunt","Tom Clancy's Ghost Recon Phantoms - NA","Torchlight II","Total War ROME II - Emperor Edition","Total War SHOGUN 2","Trove","Unturned","War Thunder","Warframe","Warhammer 40,000 Dawn of War II","XCOM Enemy Unknown"
"1",5250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",76767,NA,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,12.5,NA,NA,65,165,15.9,9.7,NA,NA,365,NA,3.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",86540,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,37
"4",144736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",181212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",229911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,2.8,NA,NA,44,109,NA,NA,NA,NA,45,165,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",298950,14.3,NA,1.2,NA,41,NA,NA,NA,NA,0.4,21,8.3,78,NA,NA,NA,NA,NA,NA,NA,NA,10.2,NA,0.5,NA,544,0.5,1,62,49,NA,NA,NA,28,2.9,0.5,0.9,NA,0.2,NA,82,92,99,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,0.1,NA,1.6,NA,NA,0.9,16.3,NA,65,0.8,NA,NA,NA,NA,3.4,NA,17.1,NA,NA,49,39,7.4,NA,135,NA,NA,50,NA,1019,86,0.4,NA,123,89,NA,13.6,NA,NA,NA,3.5,NA,NA,0.4,25
"8",381543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",547685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,489,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",554278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,6.2,NA,NA,NA,NA,NA,NA,NA,38,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA
